2025-12-04 17:58:41 | Alarma | Error distancia
2025-12-04 17:59:09 | Alarma | Error distancia
2025-12-04 17:59:40 | Alarma | Error distancia
2025-12-04 17:59:56 | Alarma | Mensaje corrupto
2025-12-04 17:59:57 | Alarma | Mensaje corrupto
2025-12-04 18:00:07 | Alarma | Error distancia
2025-12-04 18:00:19 | Alarma | Error distancia
2025-12-04 18:00:25 | Alarma | Mensaje corrupto
2025-12-04 18:00:51 | Alarma | Error distancia
2025-12-04 19:13:02 | Alarma | Mensaje corrupto
2025-12-04 19:13:15 | Alarma | Mensaje corrupto
2025-12-04 19:14:26 | Alarma | Mensaje corrupto
2025-12-04 19:15:38 | Alarma | Mensaje corrupto
2025-12-04 19:16:48 | Alarma | Mensaje corrupto
2025-12-04 19:18:15 | Alarma | Mensaje corrupto
2025-12-04 19:18:21 | Alarma | Mensaje corrupto
2025-12-04 19:18:30 | Alarma | Mensaje corrupto
2025-12-04 19:19:08 | Alarma | Mensaje corrupto
2025-12-04 19:26:47 | Alarma | Mensaje corrupto
2025-12-04 19:27:52 | Alarma | Mensaje corrupto
2025-12-04 19:29:00 | Alarma | Mensaje corrupto
2025-12-07 11:08:38 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:38 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:38 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:38 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:38 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:38 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:38 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:39 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:39 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:39 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:39 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:39 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:39 | Alarma | Mensaje corrupto: checksum incorrecto
2025-12-07 11:08:39 | Alarma | Mensaje corrupto: checksum incorrecto
